구,동,월세(만원),관리비(만원),소득,주거 부담 비율,거주 적합도 점수
관악구,청룡동,47.106456247987815,0.09314278333333331,2795428.0,0.16863636363636367,30.206363636363633
관악구,청림동,47.106456247987815,0.09314278333333331,3714965.272727273,0.12863636363636363,42.07363636363636
관악구,행운동,47.106456247987815,0.09314278333333331,2915491.0,0.15863636363636366,31.888181818181817
광진구,광장동,62.002851712487036,0.1327871333333333,5310384.181818182,0.11863636363636364,60.83272727272727
광진구,구의1동,62.002851712487036,0.1327871333333333,2703530.727272727,0.22863636363636364,27.10818181818182
광진구,구의2동,62.002851712487036,0.1327871333333333,2930825.4545454546,0.21136363636363634,30.04090909090909
광진구,구의3동,62.002851712487036,0.1327871333333333,4037607.272727273,0.15,44.60454545454546
광진구,군자동,62.002851712487036,0.1327871333333333,2623690.0,0.23863636363636365,25.967272727272725
광진구,능동,62.002851712487036,0.1327871333333333,2867135.3636363638,0.21863636363636363,29.11727272727273
광진구,자양1동,62.002851712487036,0.1327871333333333,2754783.590909091,0.22863636363636364,27.617727272727276
광진구,자양2동,62.002851712487036,0.1327871333333333,3016154.8181818184,0.20863636363636362,31.029090909090908
광진구,자양3동,62.002851712487036,0.1327871333333333,4386689.545454546,0.14,49.032272727272726
광진구,자양4동,62.002851712487036,0.1327871333333333,2799993.8636363638,0.22,28.389090909090907
광진구,중곡1동,62.002851712487036,0.1327871333333333,2556716.727272727,0.23863636363636365,25.299545454545456
광진구,중곡2동,62.002851712487036,0.1327871333333333,2573333.227272727,0.23863636363636365,25.46772727272727
광진구,중곡3동,62.002851712487036,0.1327871333333333,2407100.0454545454,0.25863636363636366,23.19909090909091
광진구,중곡4동,62.002851712487036,0.1327871333333333,2540163.0454545454,0.24863636363636363,24.805909090909093
광진구,화양동,62.002851712487036,0.1327871333333333,2487859.3636363638,0.24863636363636363,24.299545454545452
구로구,가리봉동,54.317834082640296,0.0969663,2350245.0,0.22863636363636364,23.562727272727273
구로구,개봉1동,54.317834082640296,0.0969663,2820391.409090909,0.18999999999999997,29.694090909090907
구로구,개봉2동,54.317834082640296,0.0969663,3083303.5,0.17863636363636362,32.91863636363637
구로구,개봉3동,54.317834082640296,0.0969663,2528877.5,0.21863636363636363,25.680000000000003
구로구,고척1동,54.317834082640296,0.0969663,2980933.090909091,0.18,31.770000000000003
